Date;NZD;AUD;EUR;CHF;PLN;HKD;GMD;RWF;LKR;BDT
01.12.1989;0,594648;0,785986;1,170442;0,638059;6,965631;0,128637;0,132173;0,012508;0,024976;0,031065
01.01.1990;0,602814;0,782105;1,202639;0,658744;1,058252;0,128178;0,127538;0,012011;0,024978;0,029082
01.02.1990;0,592337;0,758895;1,217247;0,672229;1,072729;0,128104;0,129283;0,012175;0,025003;0,02948
01.03.1990;0,584484;0,755414;1,200011;0,661503;1,054188;0,127994;0,127048;0,011965;0,024989;0,028971
01.04.1990;0,5803;0,764076;1,215987;0,672385;1,06746;0,128219;0,128648;0,012115;0,024984;0,029335
01.05.1990;0,57335;0,761626;1,234071;0,70458;1,08436;0,128307;0,130684;0,012307;0,024979;0,0298
01.06.1990;0,581731;0,778243;1,221074;0,701661;1,076298;0,128213;0,129713;0,012215;0,024989;0,029578
01.07.1990;0,590948;0,792477;1,256491;0,717888;1,110816;0,128624;0,133873;0,012607;0,024996;0,030527
01.08.1990;0,611802;0,808473;1,30946;0,76385;1,158702;0,128219;0,139644;0,013151;0,024998;0,031843
01.09.1990;0,618097;0,82481;1,308057;0,765229;1,15633;0,128289;0,139358;0,013124;0,025016;0,031778
01.10.1990;0,610148;0,802556;1,346256;0,780459;1,190645;0,128166;0,143493;0,013513;0,024833;0,032721
01.11.1990;0,608325;0,773833;1,376946;0,795499;1,21591;0,127846;0,146538;0,0138;0,024785;0,033415
01.12.1990;0,592877;0,769767;1,361224;0,781005;1,20061;0,127766;0,144694;0,013626;0,024849;0,032994
01.01.1991;0,591592;0,778805;1,353895;0,786326;0,9417;0,127458;0,113142;0,007957;0,024871;0,027215
01.02.1991;0,59899;0,783735;1,380784;0,789519;0,959968;0,12781;0,115337;0,008111;0,024682;0,027742
01.03.1991;0,592303;0,7718;1,272794;0,720282;0,885512;0,128381;0,106391;0,007482;0,024486;0,025591
01.04.1991;0,588634;0,778914;1,204679;0,693906;0,839274;0,12813;0,100836;0,007092;0,02445;0,024254
01.05.1991;0,586273;0,773722;1,194448;0,687452;0,831685;0,1289;0,099924;0,007028;0,024409;0,024035
01.06.1991;0,576244;0,759606;1,14765;0,653118;0,798523;0,129131;0,09594;0,006747;0,024277;0,023077
01.07.1991;0,567447;0,771326;1,144828;0,645208;0,796808;0,128717;0,095734;0,006733;0,024413;0,023027
01.08.1991;0,573584;0,782459;1,172681;0,657661;0,815875;0,128696;0,098024;0,006894;0,023833;0,023578
01.09.1991;0,579576;0,792986;1,204415;0,67376;0,837699;0,128873;0,100646;0,007078;0,024025;0,024209
01.10.1991;0,563625;0,792886;1,208628;0,676164;0,840179;0,128901;0,100944;0,007099;0,023691;0,024281
01.11.1991;0,563284;0,786552;1,256074;0,696204;0,872443;0,128806;0,104821;0,007372;0,023585;0,025213
01.12.1991;0,555721;0,7708;1,303514;0,722311;0,904471;0,128852;0,108669;0,007643;0,023619;0,026139
01.01.1992;0,543403;0,748295;1,296303;0,715261;0,709593;0,129247;0,108796;0,007219;0,023415;0,024824
01.02.1992;0,541623;0,7516;1,261809;0,686835;0,691146;0,128866;0,105967;0,007031;0,023421;0,024179
01.03.1992;0,547321;0,758541;1,230034;0,663056;0,673398;0,12907;0,103246;0,006851;0,02314;0,023558
01.04.1992;0,541229;0,762795;1,240121;0,658913;0,679633;0,129177;0,104202;0,006914;0,023195;0,023776
01.05.1992;0,535222;0,756001;1,262999;0,670302;0,692968;0,129157;0,106247;0,00705;0,023133;0,024243
01.06.1992;0,541981;0,755941;1,300068;0,700866;0,712836;0,129206;0,109293;0,007252;0,022925;0,024938
01.07.1992;0,546424;0,745113;1,370814;0,75014;0,750115;0,129499;0,115009;0,007631;0,022873;0,026242
01.08.1992;0,540984;0,7248;1,404095;0,769397;0,767211;0,129149;0,11763;0,007805;0,022742;0,02684
01.09.1992;0,543506;0,722568;1,394515;0,784618;0,758942;0,130475;0,116362;0,007721;0,022491;0,026551
01.10.1992;0,542291;0,715486;1,343321;0,760393;0,725275;0,130128;0,1112;0,007379;0,022598;0,025373
01.11.1992;0,521058;0,689876;1,257705;0,699524;0,67801;0,129614;0,103953;0,006898;0,022507;0,023719
01.12.1992;0,516147;0,689696;1,255279;0,703476;0,677852;0,129394;0,103929;0,006896;0,022185;0,023714
01.01.1993;0,512653;0,674529;1,227254;0,676903;0,552576;0,129196;0,109651;0,00694;0,021573;0,025298
01.02.1993;0,515445;0,681615;1,202178;0,658211;0,538988;0,129189;0,106955;0,006769;0,021586;0,024676
01.03.1993;0,530008;0,708052;1,196117;0,658133;0,537368;0,12937;0,106634;0,006749;0,021291;0,024602
01.04.1993;0,538811;0,711937;1,23471;0,684513;0,556011;0,129356;0,110333;0,006983;0,021041;0,025456
01.05.1993;0,542835;0,698033;1,231179;0,690289;0,554734;0,129306;0,11008;0,006967;0,020838;0,025397
01.06.1993;0,539857;0,67505;1,198653;0,678962;0,5402;0,129568;0,107196;0,006784;0,020803;0,024732
01.07.1993;0,549335;0,677623;1,147617;0,660329;0,51901;0,129345;0,102991;0,006518;0,020566;0,023762
01.08.1993;0,556158;0,678131;1,142292;0,668029;0,516641;0,129899;0,102521;0,006489;0,020483;0,023653
01.09.1993;0,554798;0,651959;1,19101;0,705144;0,537516;0,130025;0,106663;0,006751;0,020502;0,024609
01.10.1993;0,555282;0,661624;1,175893;0,694158;0,530609;0,129862;0,105292;0,006664;0,020398;0,024293
01.11.1993;0,547452;0,665;1,138427;0,66781;0,51462;0,129487;0,102119;0,006463;0,020304;0,023561
01.12.1993;0,556067;0,673444;1,137592;0,683021;0,514627;0,129479;0,102121;0,006463;0,020275;0,023561
01.01.1994;0,562852;0,695995;1,120907;0,679788;0,439486;0,129537;0,10429;0,007097;0,020219;0,024834
01.02.1994;0,574659;0,716139;1,126028;0,685955;0,440845;0,129195;0,104613;0,007119;0,020358;0,024911
01.03.1994;0,571623;0,711331;1,152293;0,69982;0,450436;0,129466;0,106888;0,007274;0,020437;0,025453
01.04.1994;0,570172;0,714805;1,151745;0,696408;0,449963;0,129702;0,106776;0,007267;0,020439;0,025426
01.05.1994;0,584487;0,72479;1,176234;0,707171;0,459148;0,12948;0,108956;0,007415;0,020379;0,025945
01.06.1994;0,592988;0,733718;1,19631;0,727469;0,466835;0,129476;0,11078;0,007539;0,020312;0,02638
01.07.1994;0,602843;0,734514;1,237766;0,754953;0,481999;0,129722;0,114378;0,007784;0,020406;0,027237
01.08.1994;0,603918;0,740339;1,239507;0,758617;0,482492;0,129894;0,114495;0,007792;0,020308;0,027265
01.09.1994;0,605502;0,741555;1,251353;0,774101;0,487297;0,129807;0,115636;0,00787;0,020313;0,027536
01.10.1994;0,611687;0,738109;1,276344;0,790898;0,497377;0,130024;0,118027;0,008032;0,020353;0,028106
01.11.1994;0,623904;0,754623;1,258486;0,772289;0,490593;0,130041;0,116418;0,007923;0,020336;0,027722
01.12.1994;0,639016;0,77476;1,229633;0,752243;0,479514;0,129603;0,113789;0,007744;0,020188;0,027096
01.01.1995;0,642557;0,765337;1,256628;0,776373;0,415986;0,129518;0,105671;0,003848;0,020052;0,025045
01.02.1995;0,637632;0,74431;1,277019;0,786851;0,42198;0,130022;0,107193;0,003903;0,020047;0,025406
01.03.1995;0,654026;0,734808;1,34035;0,853533;0,441549;0,130814;0,112164;0,004084;0,020151;0,026584
01.04.1995;0,672989;0,736624;1,365864;0,877527;0,449322;0,130544;0,114139;0,004156;0,020255;0,027052
01.05.1995;0,674498;0,727883;1,345856;0,856545;0,442855;0,130505;0,112496;0,004096;0,020172;0,026662
01.06.1995;0,675724;0,719787;1,356648;0,863501;0,446249;0,130522;0,113358;0,004127;0,019917;0,026867
01.07.1995;0,679534;0,726657;1,372198;0,864992;0,450852;0,130279;0,114528;0,00417;0,01965;0,027144
01.08.1995;0,662122;0,741696;1,329021;0,836378;0,437307;0,130139;0,111087;0,004045;0,019522;0,026328
