Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2005-01-03,1.356,1.358,1.3385,1.3464
2005-01-04,1.3465,1.3492,1.325,1.3269
2005-01-05,1.3268,1.33,1.3213,1.3271
2005-01-06,1.3271,1.3281,1.3159,1.3182
2005-01-07,1.318,1.3248,1.3025,1.3056
2005-01-10,1.3054,1.312,1.3052,1.3099
2005-01-11,1.3101,1.317,1.31,1.3117
2005-01-12,1.3118,1.3291,1.3081,1.3249
2005-01-13,1.3248,1.3264,1.3192,1.3212
2005-01-14,1.3212,1.3214,1.3054,1.3095
2005-01-17,1.3106,1.3126,1.3041,1.305
2005-01-18,1.3045,1.3072,1.2993,1.3015
2005-01-19,1.3016,1.3118,1.2963,1.3007
2005-01-20,1.3006,1.303,1.2922,1.2954
2005-01-21,1.2954,1.3065,1.2931,1.3006
2005-01-24,1.3038,1.3097,1.3026,1.3042
2005-01-25,1.3042,1.3074,1.2946,1.2971
2005-01-26,1.2973,1.3105,1.2963,1.307
2005-01-27,1.3072,1.3123,1.301,1.3037
2005-01-28,1.3039,1.3078,1.2983,1.3042
2005-01-31,1.3011,1.3056,1.2974,1.3047
2005-02-01,1.3043,1.3064,1.2999,1.3041
2005-02-02,1.3042,1.3092,1.3009,1.3031
2005-02-03,1.303,1.3036,1.294,1.2976
2005-02-04,1.2974,1.3035,1.2862,1.2862
2005-02-07,1.2853,1.2863,1.2732,1.275
2005-02-08,1.2751,1.2796,1.2731,1.2762
2005-02-09,1.276,1.2812,1.2738,1.281
2005-02-10,1.2811,1.2903,1.2739,1.2874
2005-02-11,1.2875,1.2895,1.2844,1.285
2005-02-14,1.2882,1.2988,1.2876,1.2971
2005-02-15,1.2971,1.305,1.2952,1.3018
2005-02-16,1.3016,1.3062,1.2958,1.3026
2005-02-17,1.3024,1.3088,1.3014,1.3071
2005-02-18,1.3074,1.3081,1.3013,1.3069
2005-02-21,1.3053,1.3077,1.3031,1.3057
2005-02-22,1.3058,1.3267,1.3053,1.3254
2005-02-23,1.3252,1.3273,1.3184,1.3209
2005-02-24,1.3205,1.3268,1.3175,1.319
2005-02-25,1.3193,1.3249,1.3144,1.3241
2005-02-28,1.3239,1.3278,1.3213,1.3216
2005-03-01,1.3214,1.3223,1.3167,1.3183
2005-03-02,1.3185,1.3186,1.3086,1.3134
2005-03-03,1.3134,1.3163,1.3096,1.3106
2005-03-04,1.3105,1.3252,1.3094,1.3242
2005-03-07,1.3237,1.3244,1.3179,1.3214
2005-03-08,1.3215,1.3361,1.3206,1.335
2005-03-09,1.3352,1.3421,1.3329,1.3389
2005-03-10,1.3387,1.3452,1.3368,1.3406
2005-03-11,1.3406,1.3477,1.3399,1.3468
2005-03-14,1.3461,1.3476,1.3334,1.3364
2005-03-15,1.3365,1.3406,1.3295,1.3309
2005-03-16,1.3308,1.3438,1.3289,1.3416
2005-03-17,1.3415,1.3418,1.3342,1.3376
2005-03-18,1.3377,1.3384,1.3264,1.3318
2005-03-21,1.3308,1.3316,1.3139,1.3165
2005-03-22,1.3164,1.3221,1.3054,1.3082
2005-03-23,1.3083,1.3086,1.2959,1.2987
2005-03-24,1.2986,1.3031,1.2932,1.2942
2005-03-25,1.294,1.2968,1.2927,1.2951
2005-03-28,1.296,1.296,1.2856,1.2894
2005-03-29,1.2895,1.2954,1.2876,1.2922
2005-03-30,1.2921,1.2982,1.291,1.2913
2005-03-31,1.2914,1.3017,1.291,1.2962
2005-04-01,1.2963,1.3045,1.2872,1.2906
2005-04-04,1.2882,1.2903,1.2818,1.2851
2005-04-05,1.2852,1.2877,1.2799,1.2853
2005-04-06,1.2851,1.2908,1.2838,1.2869
2005-04-07,1.287,1.2937,1.2844,1.2849
2005-04-08,1.2848,1.294,1.2809,1.2931
2005-04-11,1.2926,1.3001,1.2906,1.2969
2005-04-12,1.2968,1.3012,1.2861,1.2917
2005-04-13,1.2916,1.2952,1.285,1.2918
2005-04-14,1.2919,1.292,1.2766,1.2801
2005-04-15,1.2799,1.2937,1.2778,1.2898
2005-04-18,1.2914,1.3043,1.2875,1.3025
2005-04-19,1.3026,1.3076,1.2981,1.3056
2005-04-20,1.3055,1.3102,1.2991,1.3085
2005-04-21,1.3086,1.3121,1.3024,1.3046
2005-04-22,1.3047,1.3091,1.302,1.306
2005-04-25,1.3056,1.3057,1.2953,1.2989
2005-04-26,1.2988,1.3013,1.2946,1.2991
2005-04-27,1.299,1.2991,1.2904,1.2923
2005-04-28,1.2924,1.2942,1.2881,1.2901
2005-04-29,1.29,1.2978,1.2852,1.2873
2005-05-02,1.286,1.2873,1.2836,1.2851
2005-05-03,1.2852,1.2912,1.2829,1.2872
2005-05-04,1.2871,1.2971,1.2868,1.2952
2005-05-05,1.2954,1.2987,1.2924,1.2954
2005-05-06,1.2955,1.2963,1.2809,1.2835
2005-05-09,1.2815,1.2875,1.279,1.2863
2005-05-10,1.2864,1.2888,1.2814,1.2877
2005-05-11,1.2876,1.2911,1.2777,1.2805
2005-05-12,1.2804,1.2814,1.2666,1.2675
2005-05-13,1.2676,1.269,1.2607,1.2608
2005-05-16,1.2623,1.2648,1.258,1.2631
2005-05-17,1.2632,1.2663,1.2593,1.2608
2005-05-18,1.2607,1.2688,1.2584,1.2674
2005-05-19,1.2675,1.2689,1.2607,1.2635
2005-05-20,1.2637,1.2652,1.2535,1.2549
2005-05-23,1.2541,1.2594,1.2534,1.2566
2005-05-24,1.2569,1.2628,1.2554,1.2576
2005-05-25,1.2575,1.2618,1.255,1.2601
2005-05-26,1.26,1.2613,1.2493,1.2512
2005-05-27,1.251,1.2595,1.2505,1.2577
2005-05-30,1.2535,1.2545,1.2461,1.2473
2005-05-31,1.2471,1.2485,1.2295,1.2307
2005-06-01,1.2306,1.2339,1.2158,1.2204
2005-06-02,1.2203,1.2295,1.2181,1.2274
2005-06-03,1.2275,1.2317,1.2203,1.2225
2005-06-06,1.2226,1.2292,1.2218,1.2258
2005-06-07,1.2256,1.2312,1.2239,1.2281
2005-06-08,1.2283,1.2349,1.2209,1.2232
2005-06-09,1.2233,1.2248,1.2176,1.2225
2005-06-10,1.2221,1.2248,1.2107,1.2131
2005-06-13,1.2109,1.212,1.2028,1.2111
2005-06-14,1.2112,1.215,1.2021,1.2028
2005-06-15,1.2029,1.213,1.2015,1.2124
2005-06-16,1.2122,1.2165,1.2056,1.2106
2005-06-17,1.2102,1.2288,1.209,1.228
